subject,room_condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
1,Unknown environment,1,2.23606797749979,1,5,5,2,2.23606797749979,1,5,5,1,2.23606797749979,1,5,5,1,2.23606797749979,1,5,5
2,Unknown environment,1,0.28809720581775866,0.12884098726725124,0.083,5,0.54,0.28809720581775866,0.12884098726725124,0.083,5,-0.46,0.28809720581775866,0.12884098726725124,0.083,5,0.46,0.28809720581775866,0.12884098726725124,0.083,5
3,Unknown environment,1,0.3535533905932738,0.15811388300841897,0.125,5,1,0.3535533905932738,0.15811388300841897,0.125,5,0,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5
4,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5
6,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,3.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5
9,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
10,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.8,0.44721359549995793,0.19999999999999998,0.2,5,0.8,0.44721359549995793,0.19999999999999998,0.2,5,0.8,0.44721359549995793,0.19999999999999998,0.2,5
11,Unknown environment,1,1,0.44721359549995793,1,5,4,1,0.44721359549995793,1,5,3,1,0.44721359549995793,1,5,3,1,0.44721359549995793,1,5
12,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
13,Unknown environment,1,0.8944271909999159,0.39999999999999997,0.8,5,5.4,0.8944271909999159,0.39999999999999997,0.8,5,4.4,0.8944271909999159,0.39999999999999997,0.8,5,4.4,0.8944271909999159,0.39999999999999997,0.8,5
14,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
15,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,3.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5
16,Unknown environment,1,0.8944271909999159,0.39999999999999997,0.8,5,2.6,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5
18,Unknown environment,1,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.8366600265340756,0.3741657386773941,0.7,5,0.8,0.8366600265340756,0.3741657386773941,0.7,5,0.8,0.8366600265340756,0.3741657386773941,0.7,5
19,Unknown environment,1,0.7071067811865476,0.31622776601683794,0.5,5,6,0.7071067811865476,0.31622776601683794,0.5,5,5,0.7071067811865476,0.31622776601683794,0.5,5,5,0.7071067811865476,0.31622776601683794,0.5,5
20,Unknown environment,1,0,0,0,5,1.5,0,0,0,5,0.5,0,0,0,5,0.5,0,0,0,5
21,Unknown environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,-0.4,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.22360679774997896,0.09999999999999999,0.05,5
22,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5
23,Unknown environment,1,1.4832396974191326,0.6633249580710799,2.2,5,6.2,1.4832396974191326,0.6633249580710799,2.2,5,5.2,1.4832396974191326,0.6633249580710799,2.2,5,5.2,1.4832396974191326,0.6633249580710799,2.2,5
24,Unknown environment,1,0.6123724356957945,0.27386127875258304,0.375,5,1,0.6123724356957945,0.27386127875258304,0.375,5,0,0.4183300132670378,0.18708286933869706,0.175,5,0.4,0.4183300132670378,0.18708286933869706,0.175,5
25,Unknown environment,1,0.10954451150103325,0.04898979485566357,0.012000000000000007,5,0.68,0.10954451150103325,0.04898979485566357,0.012000000000000007,5,-0.32,0.10954451150103325,0.04898979485566357,0.012000000000000007,5,0.32,0.10954451150103325,0.04898979485566357,0.012000000000000007,5
26,Unknown environment,1,1.7320508075688772,0.7745966692414833,3,5,2,1.7320508075688772,0.7745966692414833,3,5,1,1.7320508075688772,0.7745966692414833,3,5,1,1.7320508075688772,0.7745966692414833,3,5
27,Unknown environment,1,0.4929503017546495,0.220454076850486,0.243,5,1.06,0.4929503017546495,0.220454076850486,0.243,5,0.06000000000000001,0.3209361307176242,0.14352700094407322,0.103,5,0.33999999999999997,0.3209361307176242,0.14352700094407322,0.103,5
28,Unknown environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5
30,Unknown environment,1,0.2850438562747845,0.12747548783981963,0.08125,5,0.6,0.2850438562747845,0.12747548783981963,0.08125,5,-0.4,0.2850438562747845,0.12747548783981963,0.08125,5,0.4,0.2850438562747845,0.12747548783981963,0.08125,5
31,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5
32,Unknown environment,1,0.589915248150105,0.26381811916545833,0.348,5,1.36,0.589915248150105,0.26381811916545833,0.348,5,0.36,0.5176871642217914,0.2315167380558045,0.268,5,0.44,0.5176871642217914,0.2315167380558045,0.268,5
33,Unknown environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5
34,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,0.6,0.5477225575051661,0.24494897427831777,0.3,5,-0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5
35,Unknown environment,1,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.27386127875258304,0.12247448713915889,0.075,5,-0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5
36,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
101,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5
103,Controlled environment,1,0.27386127875258304,0.12247448713915889,0.075,5,1.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.27386127875258304,0.12247448713915889,0.075,5
104,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
105,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
106,Controlled environment,1,0,0,0,5,0.5,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5
107,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5
108,Controlled environment,1,1,0.44721359549995793,1,5,1.5,1,0.44721359549995793,1,5,0.5,0.8366600265340756,0.3741657386773941,0.7,5,0.7,0.8366600265340756,0.3741657386773941,0.7,5
109,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,0.4,0.8944271909999159,0.39999999999999997,0.8,5,-0.6,0,0,0,5,1,0,0,0,5
110,Controlled environment,1,0.27386127875258304,0.12247448713915889,0.075,5,0.7,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.27386127875258304,0.12247448713915889,0.075,5
111,Controlled environment,1,1,0.44721359549995793,1,5,2,1,0.44721359549995793,1,5,1,1,0.44721359549995793,1,5,1,1,0.44721359549995793,1,5
112,Controlled environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5
113,Controlled environment,1,0.570087712549569,0.25495097567963926,0.325,5,1.8,0.570087712549569,0.25495097567963926,0.325,5,0.8,0.570087712549569,0.25495097567963926,0.325,5,0.8,0.570087712549569,0.25495097567963926,0.325,5
115,Controlled environment,1,0.7071067811865476,0.31622776601683794,0.5,5,2,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5
116,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5
117,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5
118,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5
119,Controlled environment,1,2.888425176458618,1.291743008496659,8.343,5,1.84,2.888425176458618,1.291743008496659,8.343,5,0.84,2.486563894212252,1.1120251795710383,6.183,5,1.56,2.486563894212252,1.1120251795710383,6.183,5
120,Controlled environment,1,0.08944271909999159,0.04,0.008,5,0.46,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,-0.54,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.54,0.08944271909999157,0.039999999999999994,0.007999999999999997,5
122,Controlled environment,1,0,0,0,5,2,0,0,0,5,1,0,0,0,5,1,0,0,0,5
123,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5
124,Controlled environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5
125,Controlled environment,1,1.51657508881031,0.6782329983125267,2.3,5,2.4,1.51657508881031,0.6782329983125267,2.3,5,1.4,1.51657508881031,0.6782329983125267,2.3,5,1.4,1.51657508881031,0.6782329983125267,2.3,5
126,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5
127,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
128,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5
129,Controlled environment,1,0.7071067811865476,0.31622776601683794,0.5,5,2,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5
130,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5
1,Unknown environment,2,0,0,0,5,2,0,0,0,5,0,0,0,0,5,0,0,0,0,5
2,Unknown environment,2,0.5477225575051661,0.24494897427831777,0.3,5,1.6,0.27386127875258304,0.12247448713915889,0.075,5,-0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.5477225575051661,0.24494897427831777,0.3,5
3,Unknown environment,2,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5
4,Unknown environment,2,1.51657508881031,0.6782329983125267,2.3,5,4.6,0.758287544405155,0.33911649915626335,0.575,5,1.3,0.758287544405155,0.33911649915626335,0.575,5,1.3,1.51657508881031,0.6782329983125267,2.3,5
6,Unknown environment,2,0.5477225575051661,0.24494897427831777,0.3,5,4.4,0.27386127875258304,0.12247448713915889,0.075,5,1.2,0.27386127875258304,0.12247448713915889,0.075,5,1.2,0.5477225575051661,0.24494897427831777,0.3,5
9,Unknown environment,2,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.5477225575051661,0.24494897427831777,0.3,5
10,Unknown environment,2,0.8366600265340756,0.3741657386773941,0.7,5,4.2,0.4183300132670378,0.18708286933869706,0.175,5,1.1,0.4183300132670378,0.18708286933869706,0.175,5,1.1,0.8366600265340756,0.3741657386773941,0.7,5
11,Unknown environment,2,1.3038404810405297,0.58309518948453,1.7,5,5.8,0.6519202405202649,0.291547594742265,0.425,5,1.9,0.6519202405202649,0.291547594742265,0.425,5,1.9,1.3038404810405297,0.58309518948453,1.7,5
12,Unknown environment,2,0.5477225575051661,0.24494897427831777,0.3,5,1.6,0.27386127875258304,0.12247448713915889,0.075,5,-0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.5477225575051661,0.24494897427831777,0.3,5
13,Unknown environment,2,2.8635642126552705,1.2806248474865696,8.2,5,8.2,1.4317821063276353,0.6403124237432848,2.05,5,3.1,1.4317821063276353,0.6403124237432848,2.05,5,3.1,2.8635642126552705,1.2806248474865696,8.2,5
14,Unknown environment,2,0.44721359549995793,0.19999999999999998,0.2,5,3.8,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.44721359549995793,0.19999999999999998,0.2,5
15,Unknown environment,2,0.9746794344808963,0.43588989435406733,0.95,5,5.3,0.48733971724044817,0.21794494717703367,0.2375,5,1.65,0.48733971724044817,0.21794494717703367,0.2375,5,1.65,0.9746794344808963,0.43588989435406733,0.95,5
16,Unknown environment,2,0.8366600265340756,0.3741657386773941,0.7,5,4.2,0.4183300132670378,0.18708286933869706,0.175,5,1.1,0.4183300132670378,0.18708286933869706,0.175,5,1.1,0.8366600265340756,0.3741657386773941,0.7,5
18,Unknown environment,2,0.44721359549995793,0.19999999999999998,0.2,5,3.2,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.44721359549995793,0.19999999999999998,0.2,5
19,Unknown environment,2,1.0954451150103321,0.48989794855663554,1.2,5,7.8,0.5477225575051661,0.24494897427831777,0.3,5,2.9,0.5477225575051661,0.24494897427831777,0.3,5,2.9,1.0954451150103321,0.48989794855663554,1.2,5
20,Unknown environment,2,0.4183300132670378,0.18708286933869706,0.175,5,2.4,0.2091650066335189,0.09354143466934853,0.04375,5,0.2,0.2091650066335189,0.09354143466934853,0.04375,5,0.2,0.4183300132670378,0.18708286933869706,0.175,5
21,Unknown environment,2,0.44721359549995793,0.19999999999999998,0.2,5,1.3,0.22360679774997896,0.09999999999999999,0.05,5,-0.35,0.22360679774997896,0.09999999999999999,0.05,5,0.35,0.44721359549995793,0.19999999999999998,0.2,5
22,Unknown environment,2,1.51657508881031,0.6782329983125267,2.3,5,5.4,0.758287544405155,0.33911649915626335,0.575,5,1.7,0.758287544405155,0.33911649915626335,0.575,5,1.7,1.51657508881031,0.6782329983125267,2.3,5
23,Unknown environment,2,1.7320508075688772,0.7745966692414833,3,5,7,0.8660254037844386,0.38729833462074165,0.75,5,2.5,0.8660254037844386,0.38729833462074165,0.75,5,2.5,1.7320508075688772,0.7745966692414833,3,5
24,Unknown environment,2,0.22360679774997896,0.09999999999999999,0.05,5,2.1,0.11180339887498948,0.049999999999999996,0.0125,5,0.05,0.11180339887498948,0.049999999999999996,0.0125,5,0.05,0.22360679774997896,0.09999999999999999,0.05,5
25,Unknown environment,2,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,1.04,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,-0.48,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,0.48,0.08944271909999157,0.039999999999999994,0.007999999999999997,5
26,Unknown environment,2,1.224744871391589,0.5477225575051661,1.5,5,4,0.6123724356957945,0.27386127875258304,0.375,5,1,0.6123724356957945,0.27386127875258304,0.375,5,1,1.224744871391589,0.5477225575051661,1.5,5
27,Unknown environment,2,0.44721359549995793,0.19999999999999998,0.2,5,1.7,0.22360679774997896,0.09999999999999999,0.05,5,-0.15,0.22360679774997896,0.09999999999999999,0.05,5,0.15,0.44721359549995793,0.19999999999999998,0.2,5
28,Unknown environment,2,0.7071067811865476,0.31622776601683794,0.5,5,2,0.3535533905932738,0.15811388300841897,0.125,5,0,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.5477225575051661,0.24494897427831777,0.3,5
30,Unknown environment,2,1.4747881203752624,0.6595452979136458,2.175,5,2.9,0.7373940601876312,0.3297726489568229,0.54375,5,0.45,0.30618621784789724,0.13693063937629152,0.09375,5,0.75,0.6123724356957945,0.27386127875258304,0.375,5
31,Unknown environment,2,1.7888543819998317,0.7999999999999999,3.2,5,4.8,0.8944271909999159,0.39999999999999997,0.8,5,1.4,0.8944271909999159,0.39999999999999997,0.8,5,1.4,1.7888543819998317,0.7999999999999999,3.2,5
32,Unknown environment,2,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.5477225575051661,0.24494897427831777,0.3,5
33,Unknown environment,2,0.9082951062292475,0.40620192023179796,0.825,5,3.8,0.45414755311462374,0.20310096011589898,0.20625,5,0.9,0.45414755311462374,0.20310096011589898,0.20625,5,0.9,0.9082951062292475,0.40620192023179796,0.825,5
34,Unknown environment,2,1.0954451150103321,0.48989794855663554,1.2,5,2.8,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.44721359549995793,0.19999999999999998,0.2,5
35,Unknown environment,2,0.7071067811865476,0.31622776601683794,0.5,5,1.5,0.3535533905932738,0.15811388300841897,0.125,5,-0.25,0.3535533905932738,0.15811388300841897,0.125,5,0.25,0.7071067811865476,0.31622776601683794,0.5,5
36,Unknown environment,2,0.5403702434442518,0.2416609194718914,0.2919999999999999,5,2.32,0.2701851217221259,0.1208304597359457,0.07299999999999998,5,0.15999999999999998,0.23452078799117146,0.10488088481701514,0.05499999999999999,5,0.19999999999999998,0.4690415759823429,0.2097617696340303,0.21999999999999997,5
101,Controlled environment,2,0.7071067811865476,0.31622776601683794,0.5,5,3,0.3535533905932738,0.15811388300841897,0.125,5,0.5,0.3535533905932738,0.15811388300841897,0.125,5,0.5,0.7071067811865476,0.31622776601683794,0.5,5
103,Controlled environment,2,0.13693063937629152,0.06123724356957944,0.01875,5,1.9,0.06846531968814576,0.03061862178478972,0.0046875,5,-0.05,0.06846531968814576,0.03061862178478972,0.0046875,5,0.05,0.13693063937629152,0.06123724356957944,0.01875,5
104,Controlled environment,2,0.5477225575051661,0.24494897427831777,0.3,5,3.6,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.5477225575051661,0.24494897427831777,0.3,5
105,Controlled environment,2,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.44721359549995793,0.19999999999999998,0.2,5
106,Controlled environment,2,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.6,0.13693063937629152,0.06123724356957944,0.01875,5,0.6,0.27386127875258304,0.12247448713915889,0.075,5
107,Controlled environment,2,2.345207879911715,1.0488088481701516,5.5,5,6,1.1726039399558574,0.5244044240850758,1.375,5,2,1.1726039399558574,0.5244044240850758,1.375,5,2,2.345207879911715,1.0488088481701516,5.5,5
108,Controlled environment,2,0.8366600265340756,0.3741657386773941,0.7,5,3.8,0.4183300132670378,0.18708286933869706,0.175,5,0.9,0.4183300132670378,0.18708286933869706,0.175,5,0.9,0.8366600265340756,0.3741657386773941,0.7,5
109,Controlled environment,2,1.6431676725154984,0.7348469228349535,2.7,5,4.2,0.8215838362577492,0.3674234614174767,0.675,5,1.1,0.8215838362577492,0.3674234614174767,0.675,5,1.1,1.6431676725154984,0.7348469228349535,2.7,5
110,Controlled environment,2,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.44721359549995793,0.19999999999999998,0.2,5
