participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,return,39.4268,,,,,,,,,,,,,,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,return,10.6985,,,,,,,,,,,,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,return,6.9339,,,,,,,,,,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,return,13.4848,,,,,,,,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,5,0,0,0,2,1,estimulos/3.wav,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,5,0,1,1,1,1,estimulos/2.wav,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,0,2,2,3,1,estimulos/4.wav,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,1,0,3,3,0,1,estimulos/1.wav,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,0,4,4,4,1,estimulos/5.wav,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,0,5,5,5,1,estimulos/6.wav,,,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,return,4.0012,,,,,
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2,,,,,,estimulos/1.wav,,,0,0,0,0,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,,,,,,estimulos/6.wav,,,0,1,1,5,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/3.wav,,,0,2,2,2,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3.5,,,,,,estimulos/5.wav,,,0,3,3,4,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,,,,,,estimulos/4.wav,,,0,4,4,3,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2,,,,,,estimulos/2.wav,,,0,5,5,1,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2,,,,,,estimulos/3.wav,,,1,0,6,2,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2,,,,,,estimulos/5.wav,,,1,1,7,4,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/6.wav,,,1,2,8,5,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,1,,,,,,estimulos/1.wav,,,1,3,9,0,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/4.wav,,,1,4,10,3,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2,,,,,,estimulos/2.wav,,,1,5,11,1,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,1.8,,,,,,estimulos/2.wav,,,2,0,12,1,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/6.wav,,,2,1,13,5,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,1,,,,,,estimulos/1.wav,,,2,2,14,0,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/4.wav,,,2,3,15,3,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2.8,,,,,,estimulos/3.wav,,,2,4,16,2,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/5.wav,,,2,5,17,4,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,1,,,,,,estimulos/1.wav,,,3,0,18,0,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/5.wav,,,3,1,19,4,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,,,,,,estimulos/6.wav,,,3,2,20,5,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3.8,,,,,,estimulos/4.wav,,,3,3,21,3,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3.8,,,,,,estimulos/3.wav,,,3,4,22,2,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,,,,,,estimulos/2.wav,,,3,5,23,1,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3.5,,,,,,estimulos/3.wav,,,4,0,24,2,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,,,,,,estimulos/6.wav,,,4,1,25,5,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,1,,,,,,estimulos/1.wav,,,4,2,26,0,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,,,,,,estimulos/4.wav,,,4,3,27,3,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4.5,,,,,,estimulos/5.wav,,,4,4,28,4,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2.8,,,,,,estimulos/2.wav,,,4,5,29,1,1
036,001,2023-02-08_21h48.32.343,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,
